GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
32.3050767029,118.3048365107,32.3030500549,118.3102116576,32.309413,118.316656,安徽省滁州市琅琊区天长西路35号,-,滁州亚龙名城
32.3348159187,118.3236742743,32.3328262014,118.3290869721,32.339085,118.335543,安徽省滁州市琅琊区金山路,-,滁州景臣一品
32.3032747029,118.3112525107,32.3012480549,118.3166276576,32.307611,118.323072,安徽省滁州市琅琊区琅琊东路178,-,滁州宝塔花园
32.3302058078,118.3210578233,32.328197739,118.3264544278,32.334554,118.33289,安徽省滁州市琅琊区,-,滁州雨润星雨华府
32.3030267029,118.3080235107,32.3010000549,118.3133986576,32.307363,118.319843,安徽省滁州市琅琊区琅琊西路185号,-,滁州立业小区
32.3116558161,118.3156213226,32.3096475256,118.3210125627,32.316006,118.327459,安徽省滁州市琅琊区紫薇北路1088-4号,-,滁州裕熙苑
32.3044221133,118.3227308153,32.302413601,118.3281220554,32.308773,118.334569,安徽省滁州市琅琊区凤凰东路550号,-,滁州凤凰三村
32.310244963,118.3634242276,32.3083271295,118.3689012984,32.313996,118.375533,安徽省滁州市琅琊区,-,滁州北京城建·国誉锦城
32.3008987029,118.3117495107,32.2988720549,118.3171246576,32.305235,118.323569,安徽省滁州市琅琊区凤阳路10-1,-,滁州广场家园
32.3052161133,118.3166538153,32.303207601,118.3220450554,32.309567,118.328492,安徽省滁州市琅琊区定远路236号,-,滁州学府名苑
32.3040651133,118.3187648153,32.302056601,118.3241560554,32.308416,118.330603,安徽省滁州市琅琊区,-,滁州凤凰小区一村
32.3020005854,118.298957548,32.2999603355,118.3043166017,32.306231,118.310785,安徽省滁州市琅琊区,-,滁州红叶山庄
32.2952003072,118.3029829309,32.2931598322,118.3083419845,32.29943,118.314806,安徽省滁州市琅琊区丰乐山庄路,-,滁州铜欣雅居
32.3019781133,118.3215798153,32.299969601,118.3269710554,32.306329,118.333418,安徽省滁州市琅琊区紫薇北路1450号,-,滁州凤凰四村
32.2428936945,118.3280079869,32.2409110748,118.3334153203,32.247162,118.339847,安徽省滁州市琅琊区,-,滁州港汇中心
32.1870856942,118.4037176723,32.185206184,118.4092054719,32.191314,118.415704,安徽省滁州市南谯区,-,滁州碧桂园·十里春风
32.2914066881,118.3075601507,32.2893843509,118.3129352976,32.295742,118.319375,安徽省滁州市琅琊区新光巷,-,滁州丰乐世家
32.2931803072,118.3005939309,32.2911398323,118.3059529845,32.29741,118.312417,安徽省滁州市琅琊区,-,滁州铜欣花园
32.3419741614,118.338821756,32.3400027919,118.3442559115,32.346098,118.350744,安徽省滁州市琅琊区,-,滁州菱溪苑
32.1860174389,118.4437013779,32.1841016093,118.4491301689,32.190342,118.45558,安徽省滁州市南谯区双迎路,-,滁州碧桂园·晚亭印象
32.2968833072,118.2934569309,32.2948428322,118.2988159845,32.301113,118.30528,安徽省滁州市琅琊区,-,滁州铜矿北村
32.3205972635,118.3008070352,32.3185572389,118.3061714532,32.324827,118.312634,安徽省滁州市琅琊区西大街179-181号,-,滁州新兴花园
32.2936236881,118.3045211507,32.2916013509,118.3098962976,32.297959,118.316336,安徽省滁州市琅琊区丰乐山庄路,-,滁州丰乐山庄
32.3086135854,118.299852548,32.3065733355,118.3052116017,32.312844,118.31168,安徽省滁州市琅琊区西涧路302号,-,滁州怡景园小区
32.2582954382,118.3008958584,32.2562585996,118.3062495476,32.262519,118.312682,安徽省滁州市琅琊区,-,滁州君安阳光地中海
32.3042875853,118.3014605481,32.3022473355,118.3068196017,32.308518,118.313288,安徽省滁州市琅琊区天长西路,-,滁州嘉宇万豪名苑
32.3163073938,118.3073462826,32.3142809695,118.3127214295,32.320643,118.319165,安徽省滁州市琅琊区育新路188,-,滁州机关南苑
32.2948608156,118.3204031777,32.2928520817,118.3257944178,32.299211,118.332237,安徽省滁州市琅琊区稻香路111号-1,-,滁州香樟花园
32.2617888846,118.3067327246,32.2597658783,118.312102507,32.266119,118.318518,安徽省滁州市琅琊区,-,滁州浩然国际
32.3077486413,118.3279830096,32.3057582647,118.3333957074,32.312023,118.339866,安徽省滁州市琅琊区创业北路,-,滁州阳光河畔
32.3095185853,118.302448548,32.3074783356,118.3078076016,32.313749,118.314276,安徽省滁州市琅琊区,-,滁州明乐苑
32.2646208846,118.3041687246,32.2625978783,118.309538507,32.268951,118.315954,安徽省滁州市琅琊区,-,滁州永鑫金色春天
32.2751962594,118.3200786443,32.2731916178,118.3254698844,32.279543,118.331893,安徽省滁州市琅琊区,-,滁州裕坤丽晶城
32.2904339009,118.3003377614,32.2883932008,118.305696815,32.294662,118.312152,安徽省滁州市琅琊区,-,滁州三盛颐景御园
32.3071917029,118.3060815107,32.3051650549,118.3114566576,32.311528,118.317901,安徽省滁州市琅琊区南谯北路740号,-,滁州世纪商业园
32.2522565158,118.3097210602,32.2502332865,118.3150908426,32.256586,118.321499,安徽省滁州市琅琊区,-,滁州龙蟠东苑
32.3100551133,118.3152558153,32.308046601,118.3206470554,32.314406,118.327094,安徽省滁州市琅琊区,-,滁州置业花苑
32.3127718161,118.3168563226,32.3107635256,118.3222475627,32.317122,118.328694,安徽省滁州市琅琊区紫薇北路1017号,-,滁州光明园
32.2712288813,118.305985619,32.2692060979,118.3113607659,32.275561,118.317781,安徽省滁州市琅琊区,-,滁州山水人家
32.3196348471,118.3620597377,32.3176990915,118.3675260797,32.323459,118.374131,安徽省滁州市琅琊区,-,滁州中州国际广场
32.277837256,118.3385963353,32.2758688979,118.3440251263,32.281965,118.350518,安徽省滁州市琅琊区,-,滁州天乐小区南区
32.2428411287,118.3092734015,32.2408222135,118.3146431839,32.247171,118.321049,安徽省滁州市琅琊区,-,滁州名儒园
32.3142932635,118.2958820352,32.3122532389,118.3012464532,32.318523,118.307709,安徽省滁州市琅琊区,-,滁州丰乐园
32.2642249671,118.3375127511,32.262256392,118.3429361777,32.268351,118.349424,安徽省滁州市琅琊区,-,滁州卓耕天御
32.2893863861,118.3154309948,32.2873819655,118.3208222349,32.293735,118.327256,安徽省滁州市琅琊区南谯南路548号,-,滁州银花西区
32.2720057562,118.3305621242,32.2700192563,118.3359694576,32.276276,118.342421,安徽省滁州市琅琊区,-,滁州中旭都市名苑
32.3051461133,118.3215628153,32.303137601,118.3269540554,32.309497,118.333401,安徽省滁州市琅琊区凤凰东路439号,-,滁州凤凰小区二村
32.3207296768,118.3629707217,32.318812055,118.3684531569,32.32448,118.375079,安徽省滁州市琅琊区,-,滁州菊香园
32.3069378583,118.3577319737,32.305006423,118.3631983157,32.310763,118.369804,安徽省滁州市琅琊区,-,滁州清流人家
32.2785492594,118.3177086443,32.2765446178,118.3230998844,32.282896,118.329523,安徽省滁州市琅琊区,-,滁州蓝天西区
32.2984076881,118.3078691507,32.2963853509,118.3132442976,32.302743,118.319684,安徽省滁州市琅琊区农科巷15,-,滁州竹锦北苑
32.3030627029,118.3041745107,32.3010360549,118.3095496576,32.307399,118.315994,安徽省滁州市琅琊区丰乐路198,-,滁州丰乐花园
32.267083803,118.3027807952,32.2650471888,118.3081398488,32.271308,118.314574,安徽省滁州市琅琊区,-,滁州长乐小区
32.2892853861,118.3183859948,32.2872809655,118.3237772349,32.293634,118.330211,安徽省滁州市琅琊区,-,滁州银花新村
32.2822003861,118.3173169948,32.2801959655,118.3227082349,32.286549,118.329142,安徽省滁州市琅琊区,-,滁州银河小区
32.3168456768,118.3659017217,32.314928055,118.3713841569,32.320596,118.37801,安徽省滁州市琅琊区,-,滁州东菱城市新地
32.1765559322,118.4262598602,32.1746671347,118.4317262022,32.181014,118.438151,安徽省滁州市南谯区S311(洪武东路),-,滁州皖投碧湖云溪
32.3023277029,118.3058895107,32.3003010549,118.3112646576,32.306664,118.317709,安徽省滁州市琅琊区,-,滁州静心花园
32.2967638156,118.3177841777,32.2947550817,118.3231754178,32.301114,118.329618,安徽省滁州市琅琊区西门子路168号,-,滁州汇鑫大成国际
32.3012197029,118.3040115107,32.2991930549,118.3093866576,32.305556,118.315831,安徽省滁州市琅琊区丰乐北路246号,-,滁州三里亭人家
32.3012197029,118.3040115107,32.2991930549,118.3093866576,32.305556,118.315831,安徽省滁州市琅琊区丰乐北路246号,-,滁州三里亭人家
32.310244963,118.3634242276,32.3083271295,118.3689012984,32.313996,118.375533,安徽省滁州市琅琊区,-,滁州北京城建·珑樾华府
32.2497694535,118.3376415361,32.2478049816,118.3430649627,32.253895,118.349543,安徽省滁州市琅琊区,-,滁州恒大绿洲
32.3076817029,118.3043495107,32.3056550549,118.3097246576,32.312018,118.316169,安徽省滁州市琅琊区,-,滁州泰鑫中环国际广场
32.3108373556,118.3243965162,32.3088471988,118.329809214,32.315111,118.336279,安徽省滁州市琅琊区,-,滁州创业北苑
32.3105473039,118.3496735876,32.3085977328,118.3551238363,32.314513,118.361687,安徽省滁州市琅琊区,-,滁州大唐菱湖御庭
32.2903286226,118.3296431938,32.2883423418,118.3350505272,32.294601,118.341513,安徽省滁州市琅琊区,-,滁州盛世华庭怡园
32.7668714215,118.0180237138,32.7649543654,118.023570522,32.770634,118.030196,安徽省滁州市明光市,-,滁州桂花苑
32.3062125854,118.302211548,32.3041723355,118.3075706016,32.310443,118.314039,安徽省滁州市琅琊区丰乐北路62号,-,滁州天龙小区
0,0,0,0,0,0,-,-,滁州北京城建·金城华府
32.2925636881,118.3046491507,32.2905413509,118.3100242976,32.296899,118.316464,安徽省滁州市琅琊区丰乐山庄路,-,滁州润芳园
32.2757397562,118.3235661242,32.2737532563,118.3289734576,32.28001,118.335425,安徽省滁州市琅琊区,-,滁州安康苑
32.1797557677,118.4035049926,32.1778805915,118.4089927922,32.183985,118.415487,安徽省滁州市南谯区,-,滁州富力乌衣水镇
32.3421810612,118.3192291666,32.3401734362,118.3246257711,32.346524,118.331044,安徽省滁州市琅琊区银山路,-,滁州融盛·观邸
32.2948686881,118.3074971507,32.2928463509,118.3128722976,32.299204,118.319312,安徽省滁州市琅琊区丰乐北路317-7,-,滁州丰泽茗园
32.2565475158,118.3061730602,32.2545242865,118.3115428426,32.260877,118.317951,安徽省滁州市琅琊区龙蟠大道辅路,-,滁州金鹏99广场
32.2792712561,118.3387153353,32.277302898,118.3441441263,32.283399,118.350637,安徽省滁州市琅琊区,-,滁州天乐小区北区
32.2509523658,118.3262283416,32.2489654282,118.331635675,32.25522,118.33807,安徽省滁州市琅琊区东坡西路,-,滁州世贸大厦
32.2911333072,118.3029959309,32.2890928322,118.3083549845,32.295363,118.314819,安徽省滁州市琅琊区丰乐山庄路,-,滁州津乐园
32.2915338156,118.3147931777,32.2895250817,118.3201844178,32.295884,118.326627,安徽省滁州市琅琊区清流西路266号,-,滁州泰鑫城市星座
32.2842403861,118.3206389948,32.2822359655,118.3260302349,32.288589,118.332464,安徽省滁州市琅琊区,-,滁州成业家园
32.3330269186,118.3239042743,32.3310372015,118.3293169721,32.337296,118.335773,安徽省滁州市琅琊区金山路,-,滁州恩德广场
32.2003231833,118.4159353248,32.1984393402,118.42141776,32.204701,118.427869,安徽省滁州市南谯区滁阳路,-,滁州恒大江北帝景
32.1992622004,118.4050172269,32.1973828968,118.4105050265,32.203489,118.417003,安徽省滁州市南谯区,-,滁州碧桂园北岸世家
32.2478341287,118.3093474015,32.2458152135,118.3147171839,32.252164,118.321123,安徽省滁州市琅琊区,-,滁州龙蟠南苑
32.2570098783,118.3174311021,32.2550047948,118.3228169778,32.261354,118.329228,安徽省滁州市琅琊区,-,滁州天逸华府杏园
32.274522256,118.3397003353,32.2725538979,118.3451291263,32.27865,118.351622,安徽省滁州市琅琊区凤阳北路338号,-,滁州凯迪融创·玉兰公馆
32.2859826226,118.3326671938,32.2839963418,118.3380745272,32.290255,118.344537,安徽省滁州市琅琊区,-,滁州盛世华庭熙园
32.2883329983,118.3101676996,32.286310438,118.3155428465,32.292667,118.321974,安徽省滁州市琅琊区滁州西环路8号,-,滁州御天下
32.3260008078,118.3210808233,32.323992739,118.3264774278,32.330349,118.332913,安徽省滁州市琅琊区,-,滁州国兴·翡翠湾
32.2581243659,118.3327763416,32.2561374281,118.338183675,32.262392,118.344618,安徽省滁州市琅琊区,-,滁州高速东方天地
32.2724442594,118.3211096443,32.2704396178,118.3265008844,32.276791,118.332924,安徽省滁州市琅琊区,-,滁州恒大名都
32.2736522594,118.3142306443,32.2716476178,118.3196218844,32.277999,118.326045,安徽省滁州市琅琊区,-,滁州七彩世界欢乐城
32.3073171552,118.3409194656,32.3053494484,118.3463482566,32.311449,118.352865,安徽省滁州市琅琊区,-,滁州清流水韵
32.2772902594,118.3132526443,32.2752856178,118.3186438844,32.281637,118.325067,安徽省滁州市琅琊区,-,滁州天安都市花园西区
32.2875719983,118.3051656996,32.285549438,118.3105408465,32.291906,118.316972,安徽省滁州市琅琊区,-,滁州水岸帝景
32.3038711551,118.3351864656,32.3019034483,118.3406152566,32.308003,118.347132,安徽省滁州市琅琊区,-,滁州恒地滨河名园
32.3256072368,118.2992395182,32.3235674375,118.3046039362,32.329835,118.311061,安徽省滁州市琅琊区,-,滁州北湖小区
32.2055372639,118.4089077608,32.2036581668,118.4143955604,32.209761,118.420888,安徽省滁州市南谯区,-,滁州菊香苑
32.2952798122,118.3614166254,32.2933481637,118.3668829674,32.299104,118.373484,安徽省滁州市琅琊区珠江东路,-,滁州珠江·和院
32.3043097029,118.3094275107,32.3022830549,118.3148026576,32.308646,118.321247,安徽省滁州市琅琊区南谯北路721-101号,-,滁州水石嘉园
32.3395763608,118.3212440897,32.3375685139,118.3266406942,32.343922,118.333068,安徽省滁州市琅琊区,-,滁州鸿坤理想城
32.3098487029,118.3041815107,32.3078220549,118.3095566576,32.314185,118.316001,安徽省滁州市琅琊区南湖花园步行街61号,-,滁州南湖花园
32.3156172636,118.2997040352,32.313577239,118.3050684531,32.319847,118.311531,安徽省滁州市琅琊区西涧路92,-,滁州鼓楼花园
32.264445803,118.3014147952,32.2624091888,118.3067738488,32.26867,118.313208,安徽省滁州市琅琊区,-,滁州南都华府
32.3085055853,118.297724548,32.3064653356,118.3030836017,32.312736,118.309552,安徽省滁州市琅琊区城河路,-,滁州滨湖小区
32.3001766881,118.3111461507,32.2981543509,118.3165212976,32.304512,118.322961,安徽省滁州市琅琊区,-,滁州明悦园
32.2534198783,118.3155661021,32.2514147948,118.3209519778,32.257764,118.327363,安徽省滁州市琅琊区,-,滁州凯迪塞纳河畔
32.2937886881,118.3089621507,32.2917663509,118.3143372976,32.298124,118.320777,安徽省滁州市琅琊区凤凰西路214,-,滁州紫薇西区
32.2615774751,118.3323782491,32.2595907563,118.3377855825,32.265846,118.344227,安徽省滁州市琅琊区,-,滁州正东中央公馆
32.2582058783,118.3224261021,32.2562007948,118.3278119778,32.26255,118.334223,安徽省滁州市琅琊区,-,滁州天逸华府桂园
32.2981843342,118.3248163726,32.2961982725,118.3302290704,32.302458,118.336695,安徽省滁州市琅琊区,-,滁州紫薇东区
32.2774907562,118.3320991242,32.2755042563,118.3375064576,32.281761,118.343958,安徽省滁州市琅琊区,-,滁州天安世纪城
32.2879329983,118.3076076996,32.285910438,118.3129828465,32.292267,118.319414,安徽省滁州市琅琊区新光巷,-,滁州凤翔苑
32.2534288783,118.3224371021,32.2514237948,118.3278229778,32.257773,118.334234,安徽省滁州市琅琊区,-,滁州发能国际城
32.2887059983,118.3127916996,32.286683438,118.3181668465,32.29304,118.324598,安徽省滁州市琅琊区清流西路202号,-,滁州水银山庄
32.3048706412,118.3254930096,32.3028802648,118.3309057074,32.309145,118.337376,安徽省滁州市琅琊区来安路211-1号,-,滁州宏欣园小区
32.1016432228,118.2666681077,32.0995939377,118.271984246,32.105353,118.278556,安徽省滁州市全椒县,-,滁州电厂宿舍
32.2641594751,118.3331362491,32.2621727563,118.3385435825,32.268428,118.344985,安徽省滁州市琅琊区,-,滁州发能凤凰城
32.3136612636,118.3019380352,32.311621239,118.3073024532,32.317891,118.313765,安徽省滁州市琅琊区三八巷85号,-,滁州兴隆花园
32.3223088832,118.3367874586,32.3203370779,118.3422216141,32.326438,118.348727,安徽省滁州市琅琊区,-,滁州扬子花园
32.3363309186,118.3246462743,32.3343412015,118.3300589721,32.3406,118.336515,安徽省滁州市琅琊区,-,滁州益林铭府
32.3014327029,118.3102095107,32.2994060549,118.3155846576,32.305769,118.322029,安徽省滁州市琅琊区凤阳北路4号,-,滁州泰鑫现代城
32.2034832639,118.4048887608,32.2016041668,118.4103765604,32.207707,118.416869,安徽省滁州市南谯区德盛路,-,滁州银润金陵赋
32.3189713938,118.3050302826,32.3169449695,118.3104054295,32.323307,118.316849,安徽省滁州市琅琊区文德街57号,-,滁州榴园新村
32.3203466768,118.3658527217,32.318429055,118.3713351569,32.324097,118.377961,安徽省滁州市琅琊区,-,滁州中州国际花园
32.2569068783,118.3139961021,32.2549017948,118.3193819778,32.261251,118.325793,安徽省滁州市琅琊区,-,滁州天逸华府竹园
32.3451980612,118.3210871666,32.3431904362,118.3264837711,32.349541,118.332902,安徽省滁州市琅琊区,-,滁州易景凯旋城
32.3035960102,118.2905991021,32.3015421586,118.2959474269,32.307654,118.302456,安徽省滁州市琅琊区明光西路,-,滁州龙池花园
32.2977248156,118.3156971777,32.2957160817,118.3210884178,32.302075,118.327531,安徽省滁州市琅琊区凤阳路54-2号,-,滁州明珠园
32.2855322681,118.3526938024,32.2835822668,118.3581386867,32.289496,118.364694,安徽省滁州市琅琊区,-,滁州创业南苑
32.2989116881,118.3083451507,32.2968893509,118.3137202976,32.303247,118.32016,安徽省滁州市琅琊区农科巷15栋-13号,-,滁州农科所宿舍
32.2979226881,118.3034891507,32.2959003509,118.3088642976,32.302258,118.315304,安徽省滁州市琅琊区,-,滁州书香门第
32.2902789983,118.3081646996,32.288256438,118.3135398465,32.294613,118.319971,安徽省滁州市琅琊区新光巷,-,滁州百合花园
32.2504144535,118.3346915361,32.2484499816,118.3401149627,32.25454,118.346593,安徽省滁州市琅琊区,-,滁州鑫缘英仕公馆
32.3039781133,118.3162598153,32.301969601,118.3216510554,32.308329,118.328098,安徽省滁州市琅琊区定远路286号,-,滁州康乐花园
32.2783712594,118.3151386443,32.2763666178,118.3205298844,32.282718,118.326953,安徽省滁州市琅琊区全椒北路辅路,-,滁州天安都市花园东区
32.2615669671,118.3386527511,32.259598392,118.3440761777,32.265693,118.350564,安徽省滁州市琅琊区,-,滁州胜锦尚城国际
32.3373894517,118.3407787067,32.3354178643,118.3462128622,32.341516,118.35271,安徽省滁州市琅琊区,-,滁州银花尚城
32.3176488471,118.3622947377,32.3157130915,118.3677610797,32.321473,118.374366,安徽省滁州市琅琊区,-,滁州聚诚·雍德府
32.2682149829,118.3132010273,32.2662101203,118.3185922674,32.27256,118.325005,安徽省滁州市琅琊区,-,滁州宇业富春园
32.3151623938,118.3116002826,32.3131359695,118.3169754295,32.319498,118.323419,安徽省滁州市琅琊区体育路,-,滁州南湖1号
